Date,RTY Index
10/31/2025,2479.381
9/30/2025,2436.484
8/29/2025,2366.418
7/31/2025,2211.649
6/30/2025,2175.035
5/30/2025,2066.287
4/30/2025,1964.119
3/31/2025,2011.913
2/28/2025,2163.069
1/31/2025,2287.692
12/31/2024,2230.158
11/29/2024,2434.726
10/31/2024,2196.652
9/30/2024,2229.97
8/30/2024,2217.633
7/31/2024,2254.484
6/28/2024,2047.691
5/31/2024,2070.126
4/30/2024,1973.906
3/29/2024,2124.547
2/29/2024,2054.843
1/31/2024,1947.342
12/29/2023,2027.074
11/30/2023,1809.02
10/31/2023,1662.282
9/29/2023,1785.102
8/31/2023,1899.676
7/31/2023,2003.177
6/30/2023,1888.734
5/31/2023,1749.65
4/28/2023,1768.987
3/31/2023,1802.484
2/28/2023,1896.991
1/31/2023,1931.945
12/30/2022,1761.246
11/30/2022,1886.577
10/31/2022,1846.863
9/30/2022,1664.716
8/31/2022,1844.115
7/29/2022,1885.23
6/30/2022,1707.99
5/31/2022,1864.043
4/29/2022,1864.103
3/31/2022,2070.125
2/28/2022,2048.089
1/31/2022,2028.453
12/31/2021,2245.313
11/30/2021,2198.908
10/29/2021,2297.191
9/30/2021,2204.372
8/31/2021,2273.774
7/30/2021,2226.246
6/30/2021,2310.549
5/31/2021,2268.972
4/30/2021,2266.449
3/31/2021,2220.519
2/26/2021,2201.051
1/29/2021,2073.641
12/31/2020,1974.855
11/30/2020,1819.816
10/30/2020,1538.479
9/30/2020,1507.692
8/31/2020,1561.876
7/31/2020,1480.427
6/30/2020,1441.365
5/29/2020,1394.035
4/30/2020,1310.664
3/31/2020,1153.103
2/28/2020,1476.431
1/31/2020,1614.061
12/31/2019,1668.469
11/29/2019,1624.503
10/31/2019,1562.452
9/30/2019,1523.373
8/30/2019,1494.839
7/31/2019,1574.605
6/28/2019,1566.572
5/31/2019,1465.487
4/30/2019,1591.211
3/29/2019,1539.739
2/28/2019,1575.549
1/31/2019,1499.419
12/31/2018,1348.559
11/30/2018,1533.266
10/31/2018,1511.413
9/28/2018,1696.571
8/31/2018,1740.753
7/31/2018,1670.805
6/29/2018,1643.069
5/31/2018,1633.609
4/30/2018,1541.884
3/30/2018,1529.427
2/28/2018,1512.446
1/31/2018,1574.982
12/29/2017,1535.511
11/30/2017,1544.141
10/31/2017,1502.773
9/29/2017,1490.861
8/31/2017,1405.277
7/31/2017,1425.144
6/30/2017,1415.359
5/31/2017,1370.208
4/28/2017,1400.428
3/31/2017,1385.92
2/28/2017,1386.684
1/31/2017,1361.824
12/30/2016,1357.13
11/30/2016,1322.339
10/31/2016,1191.388
9/30/2016,1251.646
8/31/2016,1239.907
7/29/2016,1219.942
6/30/2016,1151.923
5/31/2016,1154.792
4/29/2016,1130.845
3/31/2016,1114.028
2/29/2016,1033.901
1/29/2016,1035.381
12/31/2015,1135.889
11/30/2015,1198.111
10/30/2015,1161.863
9/30/2015,1100.688
8/31/2015,1159.455
7/31/2015,1238.68
6/30/2015,1253.947
5/29/2015,1246.532
4/30/2015,1220.125
3/31/2015,1252.772
2/27/2015,1233.368
1/30/2015,1165.392
12/31/2014,1204.696
11/28/2014,1173.229
10/31/2014,1173.51
9/30/2014,1101.676
8/29/2014,1174.352
7/31/2014,1120.068
6/30/2014,1192.964
5/30/2014,1134.5
4/30/2014,1126.857
3/31/2014,1173.038
2/28/2014,1183.029
1/31/2014,1130.882
12/31/2013,1163.637
11/29/2013,1142.891
10/31/2013,1100.155
9/30/2013,1073.786
8/30/2013,1010.895
7/31/2013,1045.263
6/28/2013,977.475
5/31/2013,984.142
4/30/2013,947.461
3/29/2013,951.542
2/28/2013,911.106
1/31/2013,902.087
12/31/2012,849.35
11/30/2012,821.919
10/31/2012,818.733
9/28/2012,837.45
8/31/2012,812.087
7/31/2012,786.943
6/29/2012,798.487
5/31/2012,761.822
4/30/2012,816.876
3/30/2012,830.301
2/29/2012,810.936
1/31/2012,792.82
12/30/2011,740.916
11/30/2011,737.417
10/31/2011,741.064
9/30/2011,644.156
8/31/2011,726.805
7/29/2011,797.028
6/30/2011,827.429
5/31/2011,848.301
4/29/2011,865.291
3/31/2011,843.549
2/28/2011,823.448
1/31/2011,781.251
12/31/2010,783.647
11/30/2010,727.007
10/29/2010,703.354
9/30/2010,676.139
8/31/2010,602.057
7/30/2010,650.89
6/30/2010,609.486
5/31/2010,661.614
4/30/2010,716.599
3/31/2010,678.643
2/26/2010,628.559
1/29/2010,602.035
12/31/2009,625.389
11/30/2009,579.731
10/30/2009,562.771
9/30/2009,604.278
8/31/2009,572.071
7/31/2009,556.712
6/30/2009,508.282
5/29/2009,501.629
4/30/2009,487.561
3/31/2009,422.748
2/27/2009,389.016
1/30/2009,443.526
12/31/2008,499.453
11/28/2008,473.138
10/31/2008,537.521
9/30/2008,679.583
8/29/2008,739.497
7/31/2008,714.524
6/30/2008,689.659
5/30/2008,748.282
4/30/2008,716.176
3/31/2008,687.967
2/29/2008,686.18
1/31/2008,713.298
12/31/2007,766.037
11/30/2007,767.768
10/31/2007,828.019
9/28/2007,805.45
8/31/2007,792.861
7/31/2007,776.145
6/29/2007,833.719
5/31/2007,847.164
4/30/2007,814.589
3/30/2007,800.729
2/28/2007,793.317
1/31/2007,800.363
12/29/2006,787.682
11/30/2006,786.136
10/31/2006,766.863
9/29/2006,725.611
8/31/2006,720.544
7/31/2006,700.577
6/30/2006,724.689
5/31/2006,721.032
4/28/2006,764.559
3/31/2006,765.155
2/28/2006,730.656
1/31/2006,733.215
12/30/2005,673.235
11/30/2005,677.302
10/31/2005,646.621
9/30/2005,667.814
8/31/2005,666.526
7/29/2005,679.762
6/30/2005,639.675
5/31/2005,616.724
4/29/2005,579.392
3/31/2005,615.088
2/28/2005,634.079
1/31/2005,624.032
12/31/2004,651.582
11/30/2004,633.789
10/29/2004,583.799
9/30/2004,572.952
8/31/2004,547.941
7/30/2004,551.299
6/30/2004,591.537
5/31/2004,568.295
4/30/2004,559.815
3/31/2004,590.322
2/27/2004,585.572
1/30/2004,580.775
12/31/2003,556.919
11/28/2003,546.523
10/31/2003,528.233
9/30/2003,487.688
8/29/2003,497.433
7/31/2003,476.028
6/30/2003,448.364
5/30/2003,441.014
4/30/2003,398.689
3/31/2003,364.549
2/28/2003,360.524
1/31/2003,372.177
12/31/2002,383.098
11/29/2002,406.422
10/31/2002,373.559
9/30/2002,362.319
8/30/2002,391.01
7/31/2002,392.453
6/28/2002,462.662
5/31/2002,487.449
4/30/2002,510.65
3/29/2002,506.428
2/28/2002,469.337
1/31/2002,483.092
12/31/2001,488.522
11/30/2001,460.817
10/31/2001,428.217
9/28/2001,404.927
8/31/2001,468.612
7/31/2001,484.838
6/29/2001,513.044
5/31/2001,496.545
4/30/2001,485.33
3/30/2001,450.537
2/28/2001,474.391
1/31/2001,508.38
12/29/2000,483.582
11/30/2000,446.007
10/31/2000,497.734
9/29/2000,521.475
8/31/2000,537.892
7/31/2000,500.559
6/30/2000,517.609
5/31/2000,476.832
4/28/2000,506.902
3/31/2000,539.733
2/29/2000,578.471
1/31/2000,496.954
12/31/1999,505.397
11/30/1999,454.669
10/29/1999,429.57
9/30/1999,428.255
8/31/1999,428.738
7/30/1999,445.716
6/30/1999,458.705
5/31/1999,438.68
4/30/1999,433.601
3/31/1999,398.297
2/26/1999,392.797
1/29/1999,427.936
12/31/1998,422.603
11/30/1998,398.585
10/30/1998,379.162
9/30/1998,364.705
8/31/1998,338.741
7/31/1998,420.863
6/30/1998,458.307
5/29/1998,457.925
4/30/1998,484.451
3/31/1998,482.203
2/27/1998,463.661
1/30/1998,432.195
12/31/1997,439.448
11/28/1997,432.513
10/31/1997,435.725
9/30/1997,456.152
8/29/1997,425.554
7/31/1997,416.444
6/30/1997,398.295
5/30/1997,382.474
4/30/1997,344.648
3/31/1997,344.036
2/28/1997,361.633
1/31/1997,371.059
12/31/1996,364.12
11/29/1996,355.402
10/31/1996,341.751
9/30/1996,347.496
8/30/1996,334.912
7/31/1996,317.001
6/28/1996,347.694
5/31/1996,363.087
4/30/1996,349.746
3/29/1996,332.274
2/29/1996,326.133
1/31/1996,316.696
12/29/1995,317.27
11/30/1995,309.604
10/31/1995,297.528
9/29/1995,311.744
8/31/1995,306.698
7/31/1995,300.91
6/30/1995,284.755
5/31/1995,271.083
4/28/1995,266.931
3/31/1995,261.362
2/28/1995,257.354
1/31/1995,247.428
12/30/1994,250.872
11/30/1994,244.736
10/31/1994,255.407
9/30/1994,256.69
8/31/1994,257.918
7/29/1994,244.671
6/30/1994,240.962
5/31/1994,249.761
4/29/1994,252.948
3/31/1994,251.641
2/28/1994,266.009
1/31/1994,267.261
12/31/1993,259.338
11/30/1993,251.085
10/29/1993,259.945
9/30/1993,253.616
8/31/1993,246.937
7/30/1993,237.018
6/30/1993,233.988
5/31/1993,232.13
4/30/1993,223.273
3/31/1993,229.796
2/26/1993,222.899
1/29/1993,228.456
12/31/1992,221.157
11/30/1992,214.011
10/30/1992,199.082
9/30/1992,193.16
8/31/1992,189.108
7/31/1992,194.906
6/30/1992,188.56
5/29/1992,198.225
4/30/1992,195.932
3/31/1992,203.259
2/28/1992,210.691
1/31/1992,205.013
12/31/1991,189.8
11/29/1991,176.059
10/31/1991,184.899
9/30/1991,180.328
8/30/1991,179.193
7/31/1991,173.121
6/28/1991,167.512
5/31/1991,178.147
4/30/1991,170.333
3/29/1991,171.01
2/28/1991,159.96
1/31/1991,144.183
12/31/1990,132.401
11/30/1990,127.806
10/31/1990,119.046
9/28/1990,126.993
8/31/1990,139.6
7/31/1990,161.505
6/29/1990,169.166
5/31/1990,169.061
4/30/1990,158.157
3/30/1990,163.69
2/28/1990,157.799
1/31/1990,153.333
12/29/1989,168.228
11/30/1989,167.919
10/31/1989,167.09
9/29/1989,177.821
8/31/1989,177.515
7/31/1989,173.632
6/30/1989,167.371
5/31/1989,171.516
4/28/1989,164.712
3/31/1989,158
2/28/1989,154.564
1/31/1989,153.703
12/30/1988,147.281
11/30/1988,142.034
10/31/1988,147.192
9/30/1988,149.031
8/31/1988,145.418
7/29/1988,149.651
6/30/1988,151.256
5/31/1988,141.426
4/29/1988,145.599
3/31/1988,142.497
2/29/1988,136.332
1/29/1988,125.323
12/31/1987,120.306
11/30/1987,111.57
10/30/1987,118.113
9/30/1987,170.405
8/31/1987,173.745
7/31/1987,169.082
6/30/1987,164.116
5/29/1987,160.221
4/30/1987,161.062
3/31/1987,165.987
2/27/1987,161.799
1/30/1987,149.45
12/31/1986,134.051
11/28/1986,138.284
10/31/1986,138.968
9/30/1986,133.785
8/29/1986,142.815
7/31/1986,138.666
6/30/1986,153.148
5/30/1986,153.522
4/30/1986,148.613
3/31/1986,146.593
2/28/1986,140.01
1/31/1986,130.86
12/31/1985,128.957
11/29/1985,123.742
10/31/1985,115.908
9/30/1985,111.856
8/30/1985,119.252
7/31/1985,120.708
6/28/1985,117.554
5/31/1985,116.435
4/30/1985,112.552
3/29/1985,114.113
2/28/1985,116.713
1/31/1985,113.96
12/31/1984,100.783
11/30/1984,99.406
10/31/1984,102.344
9/28/1984,104.432
8/31/1984,105.47
